Registry,Assignment,Organization Name,Organization Address
MA-L,D03957,Liteon Technology Corporation,"4F, 90, Chien 1 Road New Taipei City Taiwan TW 23585 "
MA-L,48E729,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,E8BAE2,Xplora Technologies AS,Nedre Slottsgate 8 Oslo  NO 0157 
MA-L,5CA06C,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.","No.178 Yulong Avenue, Yufengshan, Yubei District, Chongqing. Chongqing  China CN 401120 "
MA-L,A83B76,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,"B22 Building,NO.51 Tongle Road, Shajing Town, Jiangnan District, Nanning, Guangxi Province, China Nanning Guangxi CN 530007 "
MA-L,40E11C,"shenzhen Cloud High Communication Technology Co.,Ltd","Room 1908, Building 1, Jinlitong Financial Center Building, No. 1100, Xingye Road, Haiwang Community, Xin'an Street, Bao'an District, Shenzhen, China   Shenzhen  CN 518128 "
MA-L,44643C,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,24161B,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,A8400B,Visteon Corporation,One Village Center Drive Van Buren Twp MI US 48111 
MA-L,20318D,Giax GmbH,Am Weichselgarten 7 Erlangen  DE 91058 
MA-L,3CB07E,"Arounds Intelligent Equipment Co., Ltd.","Room 701~703, Vanke Huamao Plaza?  No.508, East 2nd Section,  2ndRingRoad, Chenghua District Chengdu Sichuan CN 610000 "
MA-L,C04E8A,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,08569B,WiZ,"Unit 1203-5, 12/F, Tower 1, Enterprise Square, 9 Sheung Yuet Road Kowloon Bay Hong Kong HK 0000 "
MA-L,081AFD,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,C0BFAC,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,44272E,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,106650,Robert Bosch JuP1,Robert Bosch 1150 Juarez Chihuahua MX 32557 
MA-L,A80C03,Florawise,?TÜ Ar? Teknokent No:6 Sar?yer ?stanbul  TR 34467 
MA-L,90DAF9,Siemens Rail Automation SAU,"Ronda de Europa, 5 Tres Cantos  ES 28760  "
MA-L,F8009D,INTRACOM DEFENSE S.A.,21 Km. Markopoulou Ave. Koropi Attica GR 19441 
